request_id,request_text,blood_group,city,units_needed,response_hours,urgency_label
REQ-2097,Outpatient anemia treatment needs AB+ donors.,AB+,Islamabad,3,59.91,low
REQ-2098,"Minor procedure planned, looking for A+ donors.",A+,Rawalpindi,3,32.96,low
REQ-2099,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,4,2.86,urgent
REQ-2100,Outpatient anemia treatment needs AB+ donors.,AB+,Rawalpindi,1,30.58,low
REQ-2101,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Islamabad,3,64.18,low
REQ-2102,Dengue fever patient needs A+ platelets urgently.,A+,Rawalpindi,3,8.71,medium
REQ-2103,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,5,3.73,urgent
REQ-2104,Routine pre-op prep requires O+ units by Friday.,O+,Islamabad,2,68.89,low
REQ-2105,"Minor procedure planned, looking for O+ donors.",O+,Rawalpindi,1,53.34,low
REQ-2106,PPH patient hemorrhaging — O- blood CRITICAL EMERGENCY.,O-,Rawalpindi,3,5.62,urgent
REQ-2107,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Rawalpindi,3,47.11,low
REQ-2108,Outpatient anemia treatment needs B+ donors.,B+,Rawalpindi,2,36.02,low
REQ-2109,Routine pre-op prep requires B- units by Friday.,B-,Rawalpindi,2,71.23,low
REQ-2110,"MAYDAY MAYDAY — PICU child bleeding, needs AB- now. Time = life.",AB-,Islamabad,7,0.47,critical
REQ-2111,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Rawalpindi,4,3.41,urgent
REQ-2112,Liver disease patient requires B+ transfusion within hours.,B+,Rawalpindi,2,16.06,medium
REQ-2113,Dengue fever patient needs A+ platelets urgently.,A+,Rawalpindi,3,20.71,medium
REQ-2114,Routine pre-op prep requires A- units by Friday.,A-,Rawalpindi,2,39.54,low
REQ-2115,"Minor procedure planned, looking for A+ donors.",A+,Rawalpindi,3,52.44,low
REQ-2116,Dengue fever patient needs B+ platelets urgently.,B+,Islamabad,4,20.26,medium
REQ-2117,PPH patient hemorrhaging — O- blood CRITICAL EMERGENCY.,O-,Rawalpindi,3,3.76,urgent
REQ-2118,Surgery in 12 hours needs 2 units of AB- blood.,AB-,Islamabad,4,22.8,medium
REQ-2119,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Islamabad,3,1.55,urgent
REQ-2120,"Minor procedure planned, looking for A+ donors.",A+,Rawalpindi,1,32.33,low
REQ-2121,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Islamabad,3,3.0,urgent
REQ-2122,Cancer patient undergoing chemo needs AB- blood ASAP.,AB-,Islamabad,3,21.37,medium
REQ-2123,"Minor procedure planned, looking for O+ donors.",O+,Rawalpindi,1,31.18,low
REQ-2124,Outpatient anemia treatment needs A- donors.,A-,Islamabad,2,66.44,low
REQ-2125,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Rawalpindi,4,21.78,medium
REQ-2126,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Islamabad,4,4.12,urgent
REQ-2127,URGENT: Accident victim at PIMS needs O- blood immediately!,O-,Rawalpindi,4,5.8,urgent
REQ-2128,Dengue fever patient needs O- platelets urgently.,O-,Rawalpindi,2,15.39,medium
REQ-2129,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Islamabad,2,32.58,low
REQ-2130,Gunshot wound patient in ICU. Needs A+ emergency transfusion!,A+,Islamabad,3,1.38,urgent
REQ-2131,Multi-organ failure: AB+ needed IN THE NEXT HOUR.,AB+,Rawalpindi,3,4.33,urgent
REQ-2132,"Minor procedure planned, looking for A+ donors.",A+,Islamabad,1,33.85,low
REQ-2133,URGENT: Accident victim at PIMS needs B- blood immediately!,B-,Islamabad,4,1.42,urgent
REQ-2134,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,2,23.17,medium
REQ-2135,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Rawalpindi,2,48.85,low
REQ-2136,Gunshot wound patient in ICU. Needs AB+ emergency transfusion!,AB+,Rawalpindi,4,5.37,urgent
REQ-2137,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Islamabad,3,2.36,urgent
REQ-2138,Surgery in 12 hours needs 2 units of A+ blood.,A+,Rawalpindi,3,21.55,medium
REQ-2139,Liver disease patient requires B+ transfusion within hours.,B+,Rawalpindi,3,20.15,medium
REQ-2140,Routine pre-op prep requires B+ units by Friday.,B+,Rawalpindi,2,70.45,low
REQ-2141,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,5,4.07,urgent
REQ-2142,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Rawalpindi,3,48.31,low
REQ-2143,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Rawalpindi,3,2.79,urgent
REQ-2144,CODE RED at Holy Family — B+ O- NEEDED NOW OR PATIENT DIES.,B+,Rawalpindi,7,0.51,critical
REQ-2145,"ICU patient BP crashing, massive transfusion needed: O+. CALL NOW.",O+,Rawalpindi,7,0.69,critical
REQ-2146,Patient scheduled for elective surgery next week needs A+ blood.,A+,Rawalpindi,3,58.45,low
REQ-2147,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,3,11.09,medium
REQ-2148,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Islamabad,2,10.78,medium
REQ-2149,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Islamabad,3,1.43,urgent
REQ-2150,Outpatient anemia treatment needs O- donors.,O-,Rawalpindi,3,64.77,low
REQ-2151,Dengue fever patient needs O+ platelets urgently.,O+,Islamabad,3,23.52,medium
REQ-2152,CODE RED at Holy Family — O- O- NEEDED NOW OR PATIENT DIES.,O-,Rawalpindi,5,0.84,critical
REQ-2153,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Islamabad,4,2.19,urgent
REQ-2154,Surgery in 12 hours needs 2 units of A+ blood.,A+,Rawalpindi,4,17.24,medium
REQ-2155,Liver disease patient requires O+ transfusion within hours.,O+,Islamabad,4,20.67,medium
REQ-2156,Dengue fever patient needs O+ platelets urgently.,O+,Islamabad,4,7.12,medium
REQ-2157,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Rawalpindi,3,3.56,urgent
REQ-2158,Patient scheduled for elective surgery next week needs A+ blood.,A+,Rawalpindi,3,68.2,low
REQ-2159,CODE RED at Holy Family — O+ O- NEEDED NOW OR PATIENT DIES.,O+,Rawalpindi,7,0.92,critical
REQ-2160,Outpatient anemia treatment needs O+ donors.,O+,Islamabad,1,48.88,low
REQ-2161,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Rawalpindi,1,69.13,low
REQ-2162,"Thalassemia follow-up, requires O- transfusion in 3 days.",O-,Islamabad,2,26.07,low
REQ-2163,Surgery in 12 hours needs 2 units of O+ blood.,O+,Islamabad,3,6.18,medium
REQ-2164,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Rawalpindi,2,8.9,medium
REQ-2165,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,5,1.91,urgent
REQ-2166,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Islamabad,3,21.25,medium
REQ-2167,Cancer patient undergoing chemo needs B+ blood ASAP.,B+,Islamabad,2,16.48,medium
REQ-2168,Gunshot wound patient in ICU. Needs B+ emergency transfusion!,B+,Rawalpindi,5,1.02,urgent
REQ-2169,"Thalassemia follow-up, requires O- transfusion in 3 days.",O-,Rawalpindi,1,33.64,low
REQ-2170,Cancer patient undergoing chemo needs AB+ blood ASAP.,AB+,Rawalpindi,2,13.57,medium
REQ-2171,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Rawalpindi,1,56.35,low
REQ-2172,Liver disease patient requires O+ transfusion within hours.,O+,Islamabad,4,13.7,medium
REQ-2173,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,4,4.22,urgent
REQ-2174,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,3,3.59,urgent
REQ-2175,PPH patient hemorrhaging — A- blood CRITICAL EMERGENCY.,A-,Islamabad,3,3.9,urgent
REQ-2176,"Thalassemia follow-up, requires A+ transfusion in 3 days.",A+,Rawalpindi,2,52.16,low
REQ-2177,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,3,20.34,medium
REQ-2178,"MAYDAY MAYDAY — PICU child bleeding, needs B+ now. Time = life.",B+,Rawalpindi,5,0.65,critical
REQ-2179,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,3,4.37,urgent
REQ-2180,Dengue fever patient needs B+ platelets urgently.,B+,Islamabad,2,9.26,medium
REQ-2181,Multi-organ failure: B- needed IN THE NEXT HOUR.,B-,Islamabad,5,4.27,urgent
REQ-2182,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,4,1.85,urgent
REQ-2183,"MAYDAY MAYDAY — PICU child bleeding, needs O+ now. Time = life.",O+,Islamabad,7,0.41,critical
REQ-2184,URGENT: Accident victim at PIMS needs AB+ blood immediately!,AB+,Islamabad,5,3.01,urgent
REQ-2185,"Minor procedure planned, looking for O+ donors.",O+,Islamabad,1,41.09,low
REQ-2186,PPH patient hemorrhaging — O+ blood CRITICAL EMERGENCY.,O+,Islamabad,5,1.27,urgent
REQ-2187,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Rawalpindi,3,2.51,urgent
REQ-2188,URGENT: Accident victim at PIMS needs B+ blood immediately!,B+,Rawalpindi,3,4.17,urgent
REQ-2189,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,3,1.87,urgent
REQ-2190,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,2,7.64,medium
REQ-2191,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Islamabad,4,3.71,urgent
REQ-2192,Liver disease patient requires B+ transfusion within hours.,B+,Rawalpindi,4,17.79,medium
REQ-2193,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,4,7.89,medium
REQ-2194,Gunshot wound patient in ICU. Needs AB+ emergency transfusion!,AB+,Rawalpindi,4,2.01,urgent
REQ-2195,CRITICAL LIFE OR DEATH: Patient on ventilator needs A+ THIS MINUTE.,A+,Rawalpindi,7,0.69,critical
REQ-2196,"MAYDAY MAYDAY — PICU child bleeding, needs A+ now. Time = life.",A+,Islamabad,6,0.9,critical
REQ-2197,Dengue fever patient needs O- platelets urgently.,O-,Islamabad,4,23.15,medium
REQ-2198,Gunshot wound patient in ICU. Needs O- emergency transfusion!,O-,Rawalpindi,5,4.63,urgent
REQ-2199,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Rawalpindi,5,4.81,urgent
REQ-2200,Gunshot wound patient in ICU. Needs O+ emergency transfusion!,O+,Rawalpindi,5,2.75,urgent
REQ-2201,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,4,9.23,medium
REQ-2202,Surgery in 12 hours needs 2 units of O+ blood.,O+,Islamabad,4,15.68,medium
REQ-2203,"MAYDAY MAYDAY — PICU child bleeding, needs A- now. Time = life.",A-,Rawalpindi,6,0.46,critical
REQ-2204,"Patient admitted with O+ blood shortage, transfusion needed today.",O+,Rawalpindi,4,16.11,medium
REQ-2205,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,4,12.97,medium
REQ-2206,Outpatient anemia treatment needs A+ donors.,A+,Rawalpindi,2,59.24,low
REQ-2207,"Thalassemia follow-up, requires O+ transfusion in 3 days.",O+,Islamabad,2,46.59,low
REQ-2208,Surgery in 12 hours needs 2 units of A+ blood.,A+,Rawalpindi,4,15.08,medium
REQ-2209,"MAYDAY MAYDAY — PICU child bleeding, needs B- now. Time = life.",B-,Islamabad,7,0.85,critical
REQ-2210,Outpatient anemia treatment needs A- donors.,A-,Islamabad,3,41.46,low
REQ-2211,Patient scheduled for elective surgery next week needs B+ blood.,B+,Islamabad,2,64.8,low
REQ-2212,Cancer patient undergoing chemo needs A+ blood ASAP.,A+,Islamabad,2,6.09,medium
REQ-2213,Patient scheduled for elective surgery next week needs B+ blood.,B+,Rawalpindi,1,63.6,low
REQ-2214,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,3,8.67,medium
REQ-2215,PPH patient hemorrhaging — B+ blood CRITICAL EMERGENCY.,B+,Islamabad,4,5.63,urgent
REQ-2216,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,4,11.64,medium
REQ-2217,CODE RED at Holy Family — O+ O- NEEDED NOW OR PATIENT DIES.,O+,Rawalpindi,6,0.81,critical
REQ-2218,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,3,2.17,urgent
REQ-2219,Emergency! RTA patient needs B+ — 3 units NOW.,B+,Rawalpindi,5,2.35,urgent
REQ-2220,Cancer patient undergoing chemo needs AB+ blood ASAP.,AB+,Islamabad,2,20.89,medium
REQ-2221,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,1,68.76,low
REQ-2222,Cancer patient undergoing chemo needs AB- blood ASAP.,AB-,Rawalpindi,2,10.23,medium
REQ-2223,URGENT: Accident victim at PIMS needs A+ blood immediately!,A+,Islamabad,4,4.37,urgent
REQ-2224,Post-cardiac surgery critical bleed — A+ blood — SEND DONOR IMMEDIATELY.,A+,Islamabad,5,0.76,critical
REQ-2225,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Islamabad,2,45.19,low
REQ-2226,Cancer patient undergoing chemo needs B- blood ASAP.,B-,Islamabad,3,7.71,medium
REQ-2227,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Rawalpindi,5,2.63,urgent
REQ-2228,Emergency! RTA patient needs O+ — 3 units NOW.,O+,Islamabad,5,5.79,urgent
REQ-2229,Cancer patient undergoing chemo needs O+ blood ASAP.,O+,Islamabad,3,23.26,medium
REQ-2230,"Thalassemia follow-up, requires B+ transfusion in 3 days.",B+,Rawalpindi,3,39.69,low
REQ-2231,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,4,15.71,medium
REQ-2232,URGENT: Accident victim at PIMS needs O+ blood immediately!,O+,Rawalpindi,5,1.32,urgent
REQ-2233,Liver disease patient requires A+ transfusion within hours.,A+,Islamabad,2,16.04,medium
REQ-2234,"MAYDAY MAYDAY — PICU child bleeding, needs B+ now. Time = life.",B+,Islamabad,5,0.58,critical
REQ-2235,Patient scheduled for elective surgery next week needs AB+ blood.,AB+,Rawalpindi,2,29.48,low
REQ-2236,Multi-organ failure: A+ needed IN THE NEXT HOUR.,A+,Islamabad,4,4.64,urgent
REQ-2237,Outpatient anemia treatment needs B- donors.,B-,Rawalpindi,1,28.46,low
REQ-2238,Surgery in 12 hours needs 2 units of AB+ blood.,AB+,Rawalpindi,3,17.08,medium
REQ-2239,Patient scheduled for elective surgery next week needs B+ blood.,B+,Rawalpindi,1,68.51,low
REQ-2240,CODE RED at Holy Family — B- O- NEEDED NOW OR PATIENT DIES.,B-,Rawalpindi,6,0.55,critical
REQ-2241,Emergency! RTA patient needs A+ — 3 units NOW.,A+,Islamabad,3,3.4,urgent
REQ-2242,URGENT: Accident victim at PIMS needs A- blood immediately!,A-,Rawalpindi,4,2.7,urgent
REQ-2243,Dengue fever patient needs A- platelets urgently.,A-,Rawalpindi,3,17.86,medium
REQ-2244,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,2,11.87,medium
REQ-2245,Multi-organ failure: O+ needed IN THE NEXT HOUR.,O+,Rawalpindi,4,5.32,urgent
REQ-2246,"MAYDAY MAYDAY — PICU child bleeding, needs A+ now. Time = life.",A+,Rawalpindi,6,0.45,critical
REQ-2247,Patient scheduled for elective surgery next week needs A+ blood.,A+,Islamabad,2,41.11,low
REQ-2248,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,4,16.18,medium
REQ-2249,URGENT: Accident victim at PIMS needs A- blood immediately!,A-,Rawalpindi,5,3.51,urgent
REQ-2250,Liver disease patient requires O+ transfusion within hours.,O+,Rawalpindi,2,21.62,medium
REQ-2251,Multi-organ failure: B- needed IN THE NEXT HOUR.,B-,Rawalpindi,4,5.99,urgent
REQ-2252,Outpatient anemia treatment needs O+ donors.,O+,Islamabad,2,38.27,low
REQ-2253,PPH patient hemorrhaging — A+ blood CRITICAL EMERGENCY.,A+,Rawalpindi,4,4.11,urgent
REQ-2254,Dengue fever patient needs O+ platelets urgently.,O+,Rawalpindi,4,20.62,medium
REQ-2255,Routine pre-op prep requires O+ units by Friday.,O+,Rawalpindi,3,35.86,low
REQ-2256,"Patient admitted with A+ blood shortage, transfusion needed today.",A+,Rawalpindi,2,22.19,medium
REQ-2257,Emergency! RTA patient needs AB- — 3 units NOW.,AB-,Islamabad,5,1.8,urgent
REQ-2258,Dengue fever patient needs O+ platelets urgently.,O+,Islamabad,4,14.03,medium
REQ-2259,Surgery in 12 hours needs 2 units of O+ blood.,O+,Rawalpindi,4,17.28,medium
REQ-2260,"MAYDAY MAYDAY — PICU child bleeding, needs B+ now. Time = life.",B+,Rawalpindi,6,0.15,critical
REQ-2261,Patient scheduled for elective surgery next week needs O+ blood.,O+,Islamabad,3,32.48,low
REQ-2262,Cancer patient undergoing chemo needs O- blood ASAP.,O-,Islamabad,4,23.79,medium
